,code_ligne,variante,stop_1,stop_2,distance,distance_m
263,006m,2,8763,8773,0.0,687.7365338557966
264,006m,2,8773,8783,0.0,718.5589606984444
265,006m,2,8783,8793,0.0,697.7814915860071
266,006m,2,8793,8803,0.0,804.7989189853445
267,006m,2,8803,8813,0.0,563.8503347520683
268,006m,2,8813,8823,0.0,851.7884537841472
269,006m,2,8823,8834,0.0,528.5316452209881
270,007t,1,6421F,5221F,0.0,378.55646870711377
271,007t,1,5221F,9963F,0.0,82.96987405076617
272,007t,1,9963F,5222F,0.0,82.0
273,007t,1,5222F,5253,0.0,221.18318200080222
274,007t,1,5253,5254,0.0,339.05309318748294
275,007t,1,5254,5255F,0.0,328.16611647152115
276,007t,1,5255F,5256F,0.0,346.4681947884963
277,007t,1,5256F,1048F,0.0,232.9317711262305
278,007t,1,1048F,5258,0.0,415.9543244155541
279,007t,1,5258,3480,0.0,346.18584604226
280,007t,1,3480,5264F,0.0,232.11415295066487
281,007t,1,5264F,5261,0.0,507.0839181042928
282,007t,1,5261,5265F,0.0,419.7951881572727
283,007t,1,5265F,5267,0.0,332.2483709516284
284,007t,1,5267,5352,0.0,485.8474863575853
285,007t,1,5352,0906,0.0,497.3932046178355
286,007t,1,0906,0806,0.0,452.38258145070085
287,007t,1,0806,0816,0.0,719.5514853017702
288,007t,1,0816,0826,0.0,652.0897177536327
289,007t,1,0826,2243F,0.0,660.7233157684095
290,007t,1,2243F,5354H,0.0,253.74790639530408
291,007t,1,5354H,5355,0.0,626.0007987215351
292,007t,1,5355,5356,0.0,469.8606176303777
293,007t,1,5356,5357,0.0,361.33225707096784
294,007t,1,5357,5350G,0.0,247.8911051248108
295,007t,1,5350G,5359,0.0,503.1152949374527
296,007t,1,5359,6456F,0.0,191.81762171396036
297,007t,1,6456F,5759F,0.0,728.6988403997909
298,007t,1,5759F,5770F,0.0,207.23416706711276
299,007t,1,5770F,5771,0.0,844.5886572764283
300,007t,1,5771,5772,0.0,557.2297551279903
301,007t,1,5772,5773,0.0,472.49232798004243
302,007t,1,5773,5806,0.0,447.8359074482527
303,007t,1,5806,2635F,0.0,1003.855069220652
304,007t,1,2635F,9051F,0.0,830.5249243701367
305,007t,2,9056F,2636F,0.0,830.319095288074
306,007t,2,2636F,5700G,0.0,930.4286861441981
307,007t,2,5700G,5704F,0.0,519.6836345316096
308,007t,2,5704F,5705,0.0,387.6090040233897
309,007t,2,5705,5706,0.0,547.9023635648965
310,007t,2,5706,5707,0.0,778.1548689046416
311,007t,2,5707,5758F,0.0,288.9429009337312
312,007t,2,5758F,6457F,0.0,724.7965231704688
313,007t,2,6457F,5303,0.0,216.6333307688362
314,007t,2,5303,5317G,0.0,539.8935080180164
315,007t,2,5317G,5305G,0.0,285.56785533389433
316,007t,2,5305G,5306G,0.0,350.03571246374275
317,007t,2,5306G,5307G,0.0,491.30438630242253
318,007t,2,5307G,5308F,0.0,517.4649746601214
319,007t,2,5308F,2246F,0.0,276.9205662279348
320,007t,2,2246F,0821,0.0,657.8257672058872
321,007t,2,0821,0811,0.0,648.9388260845403
322,007t,2,0811,0801,0.0,712.9364768336706
323,007t,2,0801,0901,0.0,484.4602976509092
324,007t,2,0901,5312,0.0,454.5065236055421
325,007t,2,5312,5311,0.0,483.8233148578105
326,007t,2,5311,5266F,0.0,332.8092546790128
327,007t,2,5266F,5205,0.0,420.7386362101774
328,007t,2,5205,5200F,0.0,576.9454046961463
