,route_id,stop_id,inter,inter_day,delay
783,15,6608G,2021-09-06 20:00:00,6,155460
785,15,6649F,2021-09-06 20:00:00,6,145715
787,15,6651,2021-09-06 20:00:00,6,159003
788,15,6654F,2021-09-06 20:00:00,6,164104
791,50,2500,2021-09-06 20:30:00,6,360178
798,50,2544,2021-09-06 20:30:00,6,1223781
804,50,2553,2021-09-06 20:30:00,6,1222634
812,50,2659,2021-09-06 20:30:00,6,129529
813,50,2659,2021-09-06 20:30:00,6,214087
815,50,2661,2021-09-06 20:30:00,6,1472182
817,50,2662B,2021-09-06 20:30:00,6,178372
818,50,2663,2021-09-06 20:30:00,6,134036
819,50,2663,2021-09-06 20:30:00,6,188759
821,50,2664,2021-09-06 20:30:00,6,1222083
823,50,2665,2021-09-06 20:30:00,6,171609
825,50,2669,2021-09-06 20:30:00,6,191169
829,50,5152,2021-09-06 20:30:00,6,1459433
830,50,5152,2021-09-06 20:30:00,6,188433
833,50,5161,2021-09-06 20:30:00,6,194489
838,50,5915,2021-09-06 20:30:00,6,1176445
858,50,9679,2021-09-06 20:30:00,6,3959068
859,50,9680,2021-09-06 20:30:00,6,2636239
860,50,9682,2021-09-06 20:30:00,6,2649833
861,50,9683,2021-09-06 20:30:00,6,163439
862,50,9685,2021-09-06 20:30:00,6,2659445
863,15,0702,2021-09-06 20:30:00,6,213050
864,15,0702,2021-09-06 20:30:00,6,892430
865,15,0703,2021-09-06 20:30:00,6,214079
866,15,0703,2021-09-06 20:30:00,6,891465
867,15,0704,2021-09-06 20:30:00,6,230882
868,15,0704,2021-09-06 20:30:00,6,906518
869,15,0705,2021-09-06 20:30:00,6,770172
870,15,0705,2021-09-06 20:30:00,6,901104
871,15,0706,2021-09-06 20:30:00,6,791051
872,15,0706,2021-09-06 20:30:00,6,928874
873,15,0722,2021-09-06 20:30:00,6,911116
877,15,0724,2021-09-06 20:30:00,6,916854
879,15,0725,2021-09-06 20:30:00,6,919934
881,15,0726,2021-09-06 20:30:00,6,918781
885,15,1926G,2021-09-06 20:30:00,6,663762
886,15,1961G,2021-09-06 20:30:00,6,965308
891,15,1964F,2021-09-06 20:30:00,6,1033344
892,15,1984G,2021-09-06 20:30:00,6,164424
894,15,1985G,2021-09-06 20:30:00,6,1028247
899,15,2401F,2021-09-06 20:30:00,6,1867043
901,15,2848F,2021-09-06 20:30:00,6,1897023
902,15,2851F,2021-09-06 20:30:00,6,277569
903,15,2851F,2021-09-06 20:30:00,6,2054509
904,15,2851F,2021-09-06 20:30:00,6,1154509
906,15,2869,2021-09-06 20:30:00,6,212671
915,15,5010,2021-09-06 20:30:00,6,209731
918,15,5013F,2021-09-06 20:30:00,6,399460
921,15,5014,2021-09-06 20:30:00,6,337734
928,15,5026,2021-09-06 20:30:00,6,186847
930,15,5058F,2021-09-06 20:30:00,6,1007343
943,15,5076F,2021-09-06 20:30:00,6,760622
945,15,5077,2021-09-06 20:30:00,6,758726
946,15,5078F,2021-09-06 20:30:00,6,715946
947,15,5078F,2021-09-06 20:30:00,6,740221
949,15,5079,2021-09-06 20:30:00,6,760952
954,15,5398F,2021-09-06 20:30:00,6,771690
956,15,5399F,2021-09-06 20:30:00,6,138471
958,15,5402,2021-09-06 20:30:00,6,147874
960,15,5403,2021-09-06 20:30:00,6,147788
961,15,5471,2021-09-06 20:30:00,6,811959
963,15,5817F,2021-09-06 20:30:00,6,121788
975,15,6253,2021-09-06 20:30:00,6,762499
976,15,6423F,2021-09-06 20:30:00,6,147567
980,15,6601,2021-09-06 20:30:00,6,873840
983,15,6604F,2021-09-06 20:30:00,6,802744
987,15,6608G,2021-09-06 20:30:00,6,866449
988,15,6649F,2021-09-06 20:30:00,6,706098
989,15,6649F,2021-09-06 20:30:00,6,835158
990,15,6650G,2021-09-06 20:30:00,6,186149
992,15,6650G,2021-09-06 20:30:00,6,889357
993,15,6651,2021-09-06 20:30:00,6,302191
994,15,6651,2021-09-06 20:30:00,6,945087
996,15,6653F,2021-09-06 20:30:00,6,143376
997,15,6653F,2021-09-06 20:30:00,6,261914
998,15,6653F,2021-09-06 20:30:00,6,878840
999,15,6654F,2021-09-06 20:30:00,6,279885
1000,15,6654F,2021-09-06 20:30:00,6,2089389
1001,15,6654F,2021-09-06 20:30:00,6,1189389
1002,15,6657,2021-09-06 20:30:00,6,740705
1003,15,6657,2021-09-06 20:30:00,6,260705
1005,15,6659F,2021-09-06 20:30:00,6,184178
1010,50,1085,2021-09-06 21:00:00,6,199572
1011,50,1085,2021-09-06 21:00:00,6,251813
1012,50,2500,2021-09-06 21:00:00,6,1460680
1013,50,2500,2021-09-06 21:00:00,6,260680
1014,50,2524,2021-09-06 21:00:00,6,184318
1015,50,2524,2021-09-06 21:00:00,6,215049
1021,50,2548,2021-09-06 21:00:00,6,1220435
1025,50,2608,2021-09-06 21:00:00,6,131612
1026,50,2608,2021-09-06 21:00:00,6,151837
1027,50,2609,2021-09-06 21:00:00,6,1417676
1028,50,2609,2021-09-06 21:00:00,6,217676
1029,50,2611,2021-09-06 21:00:00,6,157344
1030,50,2611,2021-09-06 21:00:00,6,195372
1031,50,2659,2021-09-06 21:00:00,6,247360
1032,50,2661,2021-09-06 21:00:00,6,232182
1033,50,2662B,2021-09-06 21:00:00,6,224081
1034,50,2663,2021-09-06 21:00:00,6,4159786
1035,50,2664,2021-09-06 21:00:00,6,177083
1036,50,2664,2021-09-06 21:00:00,6,178546
1037,50,2665,2021-09-06 21:00:00,6,216679
1038,50,2669,2021-09-06 21:00:00,6,1686507
1039,50,2670,2021-09-06 21:00:00,6,193361
1040,50,2670,2021-09-06 21:00:00,6,296824
1041,50,2671,2021-09-06 21:00:00,6,189082
1042,50,2671,2021-09-06 21:00:00,6,260469
1043,50,2672,2021-09-06 21:00:00,6,175612
1044,50,2672,2021-09-06 21:00:00,6,1656024
1045,50,5152,2021-09-06 21:00:00,6,1697156
1046,50,5159,2021-09-06 21:00:00,6,223660
1047,50,5159,2021-09-06 21:00:00,6,277008
1048,50,5161,2021-09-06 21:00:00,6,242707
1049,50,5719,2021-09-06 21:00:00,6,125346
1050,50,5719,2021-09-06 21:00:00,6,130483
1051,50,5720,2021-09-06 21:00:00,6,154430
1053,50,5721,2021-09-06 21:00:00,6,166361
1054,50,5721,2021-09-06 21:00:00,6,216589
1055,50,5757,2021-09-06 21:00:00,6,212662
1056,50,5757,2021-09-06 21:00:00,6,255144
1059,50,9651,2021-09-06 21:00:00,6,171513
1060,50,9652,2021-09-06 21:00:00,6,215667
1061,50,9654,2021-09-06 21:00:00,6,227163
1064,50,9656,2021-09-06 21:00:00,6,310038
1066,50,9657,2021-09-06 21:00:00,6,258014
1069,50,9658,2021-09-06 21:00:00,6,339863
1070,50,9658,2021-09-06 21:00:00,6,339863
1073,50,9658,2021-09-06 21:00:00,6,939863
1074,50,9658,2021-09-06 21:00:00,6,939863
1080,50,9660,2021-09-06 21:00:00,6,261389
1087,50,9679,2021-09-06 21:00:00,6,2699068
1088,50,9679,2021-09-06 21:00:00,6,2339068
1089,50,9679,2021-09-06 21:00:00,6,1379068
1090,50,9680,2021-09-06 21:00:00,6,1376239
1091,50,9680,2021-09-06 21:00:00,6,1016239
1092,50,9682,2021-09-06 21:00:00,6,1389833
1093,50,9682,2021-09-06 21:00:00,6,1029833
1094,50,9683,2021-09-06 21:00:00,6,155014
1095,50,9683,2021-09-06 21:00:00,6,1161867
1096,50,9685,2021-09-06 21:00:00,6,1399445
1097,50,9685,2021-09-06 21:00:00,6,1039445
1099,15,0702,2021-09-06 21:00:00,6,194868
1101,15,0703,2021-09-06 21:00:00,6,210573
1103,15,0704,2021-09-06 21:00:00,6,212049
1105,15,0705,2021-09-06 21:00:00,6,179593
1107,15,0706,2021-09-06 21:00:00,6,200680
1109,15,0722,2021-09-06 21:00:00,6,151028
1112,15,0724,2021-09-06 21:00:00,6,120083
1113,15,0724,2021-09-06 21:00:00,6,149616
1114,15,0725,2021-09-06 21:00:00,6,122344
1115,15,0725,2021-09-06 21:00:00,6,146720
1116,15,0726,2021-09-06 21:00:00,6,149316
1117,15,0726,2021-09-06 21:00:00,6,135837
1120,15,1289,2021-09-06 21:00:00,6,1756049
1121,15,1289,2021-09-06 21:00:00,6,856049
1122,15,1289,2021-09-06 21:00:00,6,136049
1125,15,1926G,2021-09-06 21:00:00,6,873863
1131,15,1964F,2021-09-06 21:00:00,6,133344
1132,15,1964F,2021-09-06 21:00:00,6,954935
1133,15,1984G,2021-09-06 21:00:00,6,844425
1135,15,1985G,2021-09-06 21:00:00,6,128247
1137,15,2165F,2021-09-06 21:00:00,6,833045
1139,15,2166F,2021-09-06 21:00:00,6,140248
1141,15,2401F,2021-09-06 21:00:00,6,1043043
1142,15,2401F,2021-09-06 21:00:00,6,203043
1143,15,2848F,2021-09-06 21:00:00,6,1117023
1144,15,2848F,2021-09-06 21:00:00,6,277023
1145,15,2851F,2021-09-06 21:00:00,6,194509
1147,15,2869,2021-09-06 21:00:00,6,212671
1148,15,2869,2021-09-06 21:00:00,6,128716
1150,15,5006,2021-09-06 21:00:00,6,226738
1151,15,5006,2021-09-06 21:00:00,6,1036729
